Year,Month,Year_Month,Estate,Green leaves/Kg,kVA,KWhr,Power_Cost,cum,Fuel_Cost,Labour days,Prouction/Kg,Output_power,Output_fuel,Region,Efficiency_1,Efficiency_2,efficiency_factor
2017,Jan,2017-01,Dessford,188183,156,34341,637469,178,404295,1426,47011,1.36894674,264.1067416,High Grown,Satisfied,Satisfied,High
2017,Jan,2017-01,Somerset,106682,120,21937,475407,108,256374,1083,25061,1.142407804,232.0462963,High Grown,Unsatisfied,Satisfied,Moderate
2017,Jan,2017-01,Great_Weston,157284,120,30061,507779,179,449543,1439,36782,1.223578723,205.4860335,High Grown,Satisfied,Satisfied,High
2017,Jan,2017-01,Mattakkelle,132732,136,26444,524786,131,349996,1125,31525,1.192141885,240.648855,High Grown,Unsatisfied,Satisfied,Moderate
2017,Jan,2017-01,Radella,119621,115,42500,546974,194,479705,969,16779,0.3948,86.48969072,High Grown,Unsatisfied,Unsatisfied,Low
2017,Jan,2017-01,Bearwell,181473,122,31037,546899,193,539209,1171,45381,1.462158069,235.134715,High Grown,Satisfied,Satisfied,High
2017,Jan,2017-01,Holyrood,112992,132,26400,530000,126,310727,1008,25600,0.96969697,203.1746032,High Grown,Unsatisfied,Satisfied,Moderate
2017,Jan,2017-01,Wattegoda,154883,115,27686,370594,126,319068,1248,40688,1.469623636,322.9206349,High Grown,Satisfied,Satisfied,High
2017,Jan,2017-01,Moragalla,105104,104,22665,364752,107,155289,1322,22093,0.97476285,206.4766355,Low grown,Unsatisfied,Satisfied,Moderate
2017,Jan,2017-01,Deniyaya,229603,139,41265,504470,294,585502,2367,52258,1.266400097,177.7482993,Low grown,Satisfied,Unsatisfied,Moderate
2017,Jan,2017-01,Kiruwanaganga,313345,162,56210,857265,497,629456,2743,64880,1.154243017,130.5432596,Low grown,Unsatisfied,Unsatisfied,Low
2017,Feb,2017-02,Dessford,201482,154,33340,679081,157,365947,935,50990,1.529394121,324.7770701,High Grown,Satisfied,Satisfied,High
2017,Feb,2017-02,Somerset,206525,116,25982,450383,135,323951,600,51198,1.970518051,379.2444444,High Grown,Satisfied,Satisfied,High
2017,Feb,2017-02,Great_Weston,218997,155,34786,607332,240,590177,1298,53114,1.526878629,221.3083333,High Grown,Satisfied,Satisfied,High
2017,Feb,2017-02,Mattakkelle,175093,149,30712,537118,192,498424,1251,43870,1.428431883,228.4895833,High Grown,Satisfied,Satisfied,High
2017,Feb,2017-02,Radella,20786,93,6884,492198,44,148205,926,5924,0.860546194,134.6363636,High Grown,Unsatisfied,Unsatisfied,Low
2017,Feb,2017-02,Bearwell,186710,109,31018,401133,129,322522,1015,52300,1.686117738,405.4263566,High Grown,Satisfied,Satisfied,High
2017,Feb,2017-02,Holyrood,14513,128,3081,-50458,14,42038,276,3229,1.048036352,230.6428571,High Grown,Unsatisfied,Satisfied,Moderate
2017,Feb,2017-02,Wattegoda,3789,115,9909,293537,32,154873,391,9668,0.975678676,302.125,High Grown,Unsatisfied,Satisfied,Moderate
2017,Feb,2017-02,Moragalla,83945,87,16757,350592,81,194738,925,18065,1.078056931,223.0246914,Low grown,Unsatisfied,Satisfied,Moderate
2017,Feb,2017-02,Deniyaya,170123,101,42492,680879,270,383355,1891,36594,0.861197402,135.5333333,Low grown,Unsatisfied,Unsatisfied,Low
2017,Feb,2017-02,Kiruwanaganga,229390,161,45600,804472,374,446700,2322,47552,1.042807018,127.144385,Low grown,Unsatisfied,Unsatisfied,Low
2017,Mar,2017-03,Dessford,322462,161,55048,752375,261,594613,2068,72503,1.317086906,277.789272,High Grown,Satisfied,Satisfied,High
2017,Mar,2017-03,Somerset,193787,143,33605,714966,177,418266,1507,46018,1.369379557,259.9887006,High Grown,Satisfied,Satisfied,High
2017,Mar,2017-03,Great_Weston,275881,133,43057,673750,284,600192,1648,63238,1.468704276,222.6690141,High Grown,Satisfied,Satisfied,High
2017,Mar,2017-03,Mattakkelle,213099,139,39230,531872,244,663809,1377,50351,1.283482029,206.3565574,High Grown,Satisfied,Satisfied,High
2017,Mar,2017-03,Radella,23694,95,7891,-174922,41,134767,604,6756,0.856165252,164.7804878,High Grown,Unsatisfied,Unsatisfied,Low
2017,Mar,2017-03,Bearwell,225216,110,36036,408175,190,529961,1487,54220,1.504606505,285.3684211,High Grown,Satisfied,Satisfied,High
2017,Mar,2017-03,Holyrood,74708,139,11905,400000,56,135937,534,18449,1.549685006,329.4464286,High Grown,Satisfied,Satisfied,High
2017,Mar,2017-03,Wattegoda,177230,127,28571,467175,132,111865,1178,44565,1.559798397,337.6136364,High Grown,Satisfied,Satisfied,High
2017,Mar,2017-03,Moragalla,90174,103,19448,355231,94,195763,1120,18983,0.976090086,201.9468085,Low grown,Unsatisfied,Satisfied,Moderate
2017,Mar,2017-03,Deniyaya,205228,99,38845,516519,209,352642,2091,44166,1.136980306,211.3205742,Low grown,Unsatisfied,Satisfied,Moderate
2017,Mar,2017-03,Kiruwanaganga,240826,159,47950,630188,337,434950,2597,53368,1.112992701,158.3620178,Low grown,Unsatisfied,Unsatisfied,Low
2017,Apr,2017-04,Dessford,264633,168,47978,321436,219,474032,1888,58021,1.209325107,264.9360731,High Grown,Satisfied,Satisfied,High
2017,Apr,2017-04,Somerset,402426,150,50223,772424,248,615442,2765,86662,1.725544073,349.4435484,High Grown,Satisfied,Satisfied,High
2017,Apr,2017-04,Great_Weston,399119,151,52762,817990,327,858987,2486,93591,1.773833441,286.2110092,High Grown,Satisfied,Satisfied,High
2017,Apr,2017-04,Mattakkelle,386600,191,63596,1019111,369,1108324,2169,90909,1.429476697,246.3658537,High Grown,Satisfied,Satisfied,High
2017,Apr,2017-04,Radella,105364,117,33548,689854,216,401349,753,30039,0.895403601,139.0694444,High Grown,Unsatisfied,Unsatisfied,Low
2017,Apr,2017-04,Bearwell,356092,137,49818,849236,278,665386,2112,82516,1.656349111,296.8201439,High Grown,Satisfied,Satisfied,High
2017,Apr,2017-04,Holyrood,296103,167,44092,717974,291,713141,1700,66318,1.504082373,227.8969072,High Grown,Satisfied,Satisfied,High
2017,Apr,2017-04,Wattegoda,303523,136,41980,598050,217,501322,2053,75509,1.798689852,347.9677419,High Grown,Satisfied,Satisfied,High
2017,Apr,2017-04,Moragalla,123589,115,19995,364200,130,283582,1172,26183,1.309477369,201.4076923,Low grown,Satisfied,Satisfied,High
2017,Apr,2017-04,Deniyaya,256282,128,39569,678534,287,422197,1882,54969,1.389193561,191.5296167,Low grown,Satisfied,Unsatisfied,Moderate
2017,Apr,2017-04,Kiruwanaganga,321901,192,49730,738164,447,619800,2592,69928,1.406153227,156.4384787,Low grown,Satisfied,Unsatisfied,Moderate
2017,May,2017-05,Dessford,312337,152,55466,595718,279,643118,2236,64844,1.169076551,232.4157706,High Grown,Unsatisfied,Satisfied,Moderate
2017,May,2017-05,Somerset,275765,153,34505,781916,184,442929,2063,59658,1.728966816,324.2282609,High Grown,Satisfied,Satisfied,High
2017,May,2017-05,Great_Weston,283953,117,43543,761817,280,675134,2124,63556,1.459614634,226.9857143,High Grown,Satisfied,Satisfied,High
2017,May,2017-05,Mattakkelle,224245,134,42043,612155,293,717035,1976,49667,1.181338154,169.5119454,High Grown,Unsatisfied,Unsatisfied,Low
2017,May,2017-05,Radella,105364,117,32023,483479,225,355541,998,32316,1.009149674,143.6266667,High Grown,Unsatisfied,Unsatisfied,Low
2017,May,2017-05,Bearwell,243233,127,42743,706126,219,623490,1926,60924,1.425356199,278.1917808,High Grown,Satisfied,Satisfied,High
2017,May,2017-05,Holyrood,209162,140,37150,528845,223,538657,1418,48145,1.295962315,215.896861,High Grown,Satisfied,Satisfied,High
2017,May,2017-05,Wattegoda,259399,134,41582,581406,249,625581,1780,60168,1.446972248,241.6385542,High Grown,Satisfied,Satisfied,High
2017,May,2017-05,Moragalla,118619,113,22446,415675,126,232483,1340,25000,1.113784193,198.4126984,Low grown,Unsatisfied,Unsatisfied,Low
2017,May,2017-05,Deniyaya,190204,127,38491,626400,208,376708,2049,51045,1.326154166,245.4086538,Low grown,Satisfied,Satisfied,High
2017,May,2017-05,Kiruwanaganga,240959,163,45700,868607,305,396500,2724,49175,1.076039387,161.2295082,Low grown,Unsatisfied,Unsatisfied,Low
2017,Jun,2017-06,Dessford,138935,141,30774,539253,178,413758,1123,31232,1.014882693,175.4606742,High Grown,Unsatisfied,Unsatisfied,Low
2017,Jun,2017-06,Somerset,146691,153,19875,546664,129,333735,1321,31558,1.587823899,244.6356589,High Grown,Satisfied,Satisfied,High
2017,Jun,2017-06,Great_Weston,187623,104,33255,525120,203,571681,1678,42080,1.265373628,207.2906404,High Grown,Satisfied,Satisfied,High
2017,Jun,2017-06,Mattakkelle,182720,136,40976,666289,255,640789,1391,36060,0.880027333,141.4117647,High Grown,Unsatisfied,Unsatisfied,Low
2017,Jun,2017-06,Radella,57792,85,23493,477990,131,332300,934,17649,0.751245052,134.7251908,High Grown,Unsatisfied,Unsatisfied,Low
2017,Jun,2017-06,Bearwell,137274,110,28578,451413,138,492869,1175,33021,1.155469242,239.2826087,High Grown,Unsatisfied,Satisfied,Moderate
2017,Jun,2017-06,Holyrood,147432,131,27140,405225,152,371907,992,32271,1.189056743,212.3092105,High Grown,Unsatisfied,Satisfied,Moderate
2017,Jun,2017-06,Wattegoda,117491,117,24070,363414,121,352711,940,27007,1.122019111,223.1983471,High Grown,Unsatisfied,Satisfied,Moderate
2017,Jun,2017-06,Moragalla,132194,108,25924,412189,133,201130,1491,27916,1.076839994,209.8947368,Low grown,Unsatisfied,Satisfied,Moderate
2017,Jun,2017-06,Deniyaya,283096,139,41272,702180,289,515412,2638,68358,1.656280287,236.532872,Low grown,Satisfied,Satisfied,High
2017,Jun,2017-06,Kiruwanaganga,201960,142,36310,537882,203,174970,2326,34097,0.939052603,167.9655172,Low grown,Unsatisfied,Unsatisfied,Low
2017,Jul,2017-07,Dessford,201182,150,33258,691391,200,470736,1441,46171,1.388267485,230.855,High Grown,Satisfied,Satisfied,High
2017,Jul,2017-07,Somerset,259954,150,60223,730337,158,693975,2051,57195,0.949720207,361.9936709,High Grown,Unsatisfied,Satisfied,Moderate
2017,Jul,2017-07,Great_Weston,177881,98,28681,496167,189,407243,1493,39805,1.387852585,210.6084656,High Grown,Satisfied,Satisfied,High
2017,Jul,2017-07,Mattakkelle,217068,152,45904,688128,264,729311,1489,48186,1.049712443,182.5227273,High Grown,Unsatisfied,Unsatisfied,Low
2017,Jul,2017-07,Radella,2303,82,1655,224136,5,28861,422,623,0.376435045,124.6,High Grown,Unsatisfied,Unsatisfied,Low
2017,Jul,2017-07,Bearwell,243759,114,41082,583193,211,688104,1788,58553,1.425271408,277.5023697,High Grown,Satisfied,Satisfied,High
2017,Jul,2017-07,Holyrood,170537,130,28860,615603,153,468888,1175,39060,1.353430353,255.2941176,High Grown,Satisfied,Satisfied,High
2017,Jul,2017-07,Wattegoda,158348,113,26715,445619,150,537669,1055,38515,1.44169942,256.7666667,High Grown,Satisfied,Satisfied,High
2017,Jul,2017-07,Moragalla,126155,105,23538,416458,129,239054,1315,26589,1.129620189,206.1162791,Low grown,Unsatisfied,Satisfied,Moderate
2017,Jul,2017-07,Deniyaya,214466,138,38644,608169,195,163928,2310,45622,1.180571369,233.9589744,Low grown,Unsatisfied,Satisfied,Moderate
2017,Jul,2017-07,Kiruwanaganga,195185,145,42540,608169,264,368675,1785,40758,0.958110014,154.3863636,Low grown,Unsatisfied,Unsatisfied,Low
2017,Aug,2017-08,Dessford,148287,127,23150,99685,142,328864,1254,32053,1.384578834,225.7253521,High Grown,Satisfied,Satisfied,High
2017,Aug,2017-08,Somerset,194792,213,41948,723263,156,708978,1669,40966,0.976590064,262.6025641,High Grown,Unsatisfied,Satisfied,Moderate
2017,Aug,2017-08,Great_Weston,177881,110,8715,590329,236,589807,1632,47740,5.477911647,202.2881356,High Grown,Satisfied,Satisfied,High
2017,Aug,2017-08,Mattakkelle,145164,122,21991,393458,180,537938,1199,31743,1.44345414,176.35,High Grown,Satisfied,Unsatisfied,Moderate
2017,Aug,2017-08,Radella,2303,108,10767,396883,102,207569,933,14054,1.305284666,137.7843137,High Grown,Satisfied,Unsatisfied,Moderate
2017,Aug,2017-08,Bearwell,162638,105,30607,492581,173,484216,1557,37948,1.239847094,219.3526012,High Grown,Satisfied,Satisfied,High
2017,Aug,2017-08,Holyrood,161764,131,29832,408988,185,477788,1063,34335,1.150945294,185.5945946,High Grown,Unsatisfied,Unsatisfied,Low
2017,Aug,2017-08,Wattegoda,113184,112,21368,360337,131,372188,990,25216,1.180082366,192.4885496,High Grown,Unsatisfied,Unsatisfied,Low
2017,Aug,2017-08,Moragalla,135352,115,26454,408493,135,214105,1396,28113,1.062712633,208.2444444,Low grown,Unsatisfied,Satisfied,Moderate
2017,Aug,2017-08,Deniyaya,198242,128,37540,565425,205,289790,2116,42921,1.143340437,209.3707317,Low grown,Unsatisfied,Satisfied,Moderate
2017,Aug,2017-08,Kiruwanaganga,203716,146,42810,719422,359,527535,2604,44226,1.033076384,123.1922006,Low grown,Unsatisfied,Unsatisfied,Low
2017,Sep,2017-09,Dessford,129912,139,27336,485690,140,399408.6,1173,28570,1.045141937,204.0714286,High Grown,Unsatisfied,Satisfied,Moderate
2017,Sep,2017-09,Somerset,165099,155,12385,356799,165,416206.9,1456,34946,2.82163908,211.7939394,High Grown,Satisfied,Satisfied,High
2017,Sep,2017-09,Great_Weston,207471,119,33921,469131,250,668819,1884,45195,1.332360485,180.78,High Grown,Satisfied,Unsatisfied,Moderate
2017,Sep,2017-09,Mattakkelle,157736,132,18840,348903,250,811011,1535,34890,1.851910828,139.56,High Grown,Satisfied,Unsatisfied,Moderate
2017,Sep,2017-09,Radella,48646,68,17353,468083,98,356033.6,801,13247,0.763383853,135.1734694,High Grown,Unsatisfied,Unsatisfied,Low
2017,Sep,2017-09,Bearwell,169358,113,27402,417665,169,507191.8,1309,40737,1.486643311,241.0473373,High Grown,Satisfied,Satisfied,High
2017,Sep,2017-09,Holyrood,144735,130,16586,492358,197,557912,1204,31865,1.921198601,161.751269,High Grown,Satisfied,Unsatisfied,Moderate
2017,Sep,2017-09,Wattegoda,113400,107,22113,364950,138,372216.7,875,26410,1.194320083,191.3768116,High Grown,Unsatisfied,Unsatisfied,Low
2017,Sep,2017-09,Moragalla,137229,115,26894,460099,157,268242,1573,28272,1.051238194,180.0764331,Low grown,Unsatisfied,Unsatisfied,Low
2017,Sep,2017-09,Deniyaya,214629,138,41943,589400,248,501098.4,2282,44538,1.06186968,179.5887097,Low grown,Unsatisfied,Unsatisfied,Low
2017,Sep,2017-09,Kiruwanaganga,230816,156,45930,753164,341,471140.6,2525,49003,1.066906162,143.7038123,Low grown,Unsatisfied,Unsatisfied,Low
2017,Oct,2017-10,Dessford,175684,139,37669,694626,186,461256,1448,38318,1.017229021,206.0107527,High Grown,Unsatisfied,Satisfied,Moderate
2017,Oct,2017-10,Somerset,191722,151,22487,514084,186,567890.7,1682,41245,1.834170854,221.7473118,High Grown,Satisfied,Satisfied,High
2017,Oct,2017-10,Great_Weston,207471,148,37479,607980,294,718258,1798,51892,1.384562021,176.5034014,High Grown,Satisfied,Unsatisfied,Moderate
2017,Oct,2017-10,Mattakkelle,168809,145,26698,741088,235,755244,1461,37588,1.407895723,159.9489362,High Grown,Satisfied,Unsatisfied,Moderate
2017,Oct,2017-10,Radella,99387,75,36265,63931,202,643869,1131,26456,0.72951882,130.970297,High Grown,Unsatisfied,Unsatisfied,Low
2017,Oct,2017-10,Bearwell,186143,121,17497,421635,180,548097.6,1329,44857,2.563696634,249.2055556,High Grown,Satisfied,Satisfied,High
